configuration, training accuracy, test accuracy
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.9973535133946326,0.7463130393335896
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.9986308120912121,0.7292245164994271
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.9925733170201702,0.6769053272662624
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.9989036715799763,0.7328087898992723
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.9980547754995285,0.6904303220010573
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.9994797081716599,0.7493329894158148
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.9979295499863163,0.7347177151710756
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.9971317052841187,0.7568064351235667
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.9968357413045822,0.7480169996138541
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.9980931772339728,0.7587414826116254
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.9955141313614384,0.7661497150698016
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='lstm', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.9958544065875392,0.8000056801303741
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.9958544065875392,0.8028041143571177
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.9971895150599941,0.7856961008041136
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.9952982327630443,0.8025537229353382
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.995365648500381,0.7946009751289121
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.9983217254761727,0.7903821756762843
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.9983217254761727,0.7919465322648326
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.9983217254761727,0.7981469400467411
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.9976204633712769,0.7882942307379938
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.9964304431792228,0.787568078887078
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn_rnn', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.9863728150244682,0.6957493732052464
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.9866804470939021,0.7485422395890758
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.9836124393247789,0.7440427695551226
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.9848553115321744,0.7562503160968903
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.9843176766749351,0.7617178309348321
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.9859473090017995,0.7418823453687853
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.9841500741820182,0.749714151505501
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.9859473090017995,0.744736329201729
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.9843623888108038,0.7590720461260888
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.9831812718222218,0.7595169467310752
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.9853514077201966,0.7349757013782379
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.984488453595869,0.7671039662053508
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='transformer', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.9968647553074744,0.719500393636765
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.9968647553074744,0.7200639507462901
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.9950055105070914,0.7812751954601657
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='lstm')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.9950055105070914,0.7907247504880351
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.9950055105070914,0.7834185265725658
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.987600596681718,0.7693345950495812
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='cnn_rnn')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.9963271204502352,0.7300656803192631
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.9963271204502352,0.7395347616364879
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.9948107148370435,0.7717566874719435
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='transformer')",0.5089086591596564,0.37785074895908755
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='lstm', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.9950055105070914,0.769737676266701
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn_rnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.9874474877311338,0.7672932532525831
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='transformer', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.9864764511585236,0.753748688005632
"Namespace(attention_heads=4, audio_dim=73, audio_encoder='cnn', drop_rate=0.5, hidden_dim=128, learning_rate=0.001, text_dim=100, text_encoder='cnn', transformer_layers=1, video_dim=100, video_encoder='cnn')",0.5089086591596564,0.37785074895908755
