,text_encoder,video_encoder,audio_encoder,train_acc,train_f1,test_acc,test_f1
0,cnn_rnn,lstm,lstm,1.0,1.0,0.7926093301465434,0.8250539302825928
1,transformer,lstm,lstm,0.9982833237417282,0.9978858828544616,0.7617733478546143,0.8159999847412109
2,cnn,lstm,lstm,1.0,1.0,0.7288562693903523,0.7706013321876526
3,lstm,lstm,lstm,1.0,1.0,0.7243975304788158,0.7630979418754578
4,,,,,,,
5,cnn_rnn,lstm,cnn_rnn,1.0,1.0,0.7957091023845058,0.8290597796440125
6,transformer,lstm,cnn_rnn,0.9982222722422692,0.9978829026222228,0.7600547632863445,0.7987151741981506
7,cnn,lstm,cnn_rnn,1.0,1.0,0.7207902458406263,0.7664804458618164
8,lstm,lstm,cnn_rnn,1.0,1.0,0.7236637838425175,0.7639681100845337
9,,,,,,,
10,cnn_rnn,lstm,transformer,0.9982024094750804,0.9978798627853394,0.7719888417951523,0.8027057647705078
11,transformer,lstm,transformer,0.9971259447836108,0.9964663982391356,0.76290193680794,0.7959865927696228
12,cnn,lstm,transformer,1.0,1.0,0.718681029735073,0.763717770576477
13,lstm,lstm,transformer,1.0,1.0,0.7155754181646532,0.7554535269737244
14,,,,,,,
15,cnn_rnn,lstm,cnn,0.99947970817166,0.9992952942848206,0.7932952700122711,0.8273683786392212
16,transformer,lstm,cnn,0.99947970817166,0.9992952942848206,0.7512433163581356,0.7952840328216553
17,cnn,lstm,cnn,1.0,1.0,0.7286016941070557,0.768539309501648
18,lstm,lstm,cnn,1.0,1.0,0.7206763125235035,0.7622298002243042
19,,,,,,,
20,cnn_rnn,cnn_rnn,lstm,1.0,1.0,0.8042164060377306,0.8318965435028076
21,transformer,cnn_rnn,lstm,0.9982833237417282,0.9978858828544616,0.7641771954874839,0.8092728853225708
22,lstm,cnn_rnn,lstm,0.9989235343471651,0.9985915422439576,0.7389194600043758,0.7963526248931885
23,cnn,cnn_rnn,lstm,1.0,1.0,0.7298154177204255,0.768878698348999
24,,,,,,,
25,cnn_rnn,cnn_rnn,cnn_rnn,1.0,1.0,0.785778735914538,0.8222697973251343
26,transformer,cnn_rnn,cnn_rnn,0.9982833237417282,0.9978858828544616,0.7619377355421743,0.7875288724899292
27,cnn,cnn_rnn,cnn_rnn,1.0,1.0,0.7285268056777215,0.7738358974456787
28,lstm,cnn_rnn,cnn_rnn,1.0,1.0,0.6965902303495715,0.7318235635757446
29,,,,,,,
30,cnn_rnn,cnn_rnn,transformer,0.9989036715799764,0.99858957529068,0.7942489347150249,0.8245613574981691
31,transformer,cnn_rnn,transformer,0.9977456888844889,0.997183084487915,0.7367470725890128,0.7769314646720886
32,cnn,cnn_rnn,transformer,1.0,1.0,0.7105097213099081,0.7473807334899902
33,lstm,cnn_rnn,transformer,1.0,1.0,0.677410073818699,0.704878032207489
34,,,,,,,
35,cnn_rnn,cnn_rnn,cnn,1.0,1.0,0.7880093089995845,0.8266385197639465
36,transformer,cnn_rnn,cnn,0.9982833237417282,0.9978858828544616,0.7650269346852456,0.7859649062156677
37,lstm,cnn_rnn,cnn,1.0,1.0,0.7241795832110991,0.7526377439498901
38,cnn,cnn_rnn,cnn,1.0,1.0,0.7053658827658622,0.7453704476356506
39,,,,,,,
40,cnn_rnn,transformer,lstm,0.9958544065875392,0.9950529932975768,0.7902709880182821,0.8259023427963257
41,lstm,transformer,lstm,1.0,1.0,0.7314617268500789,0.7843986749649048
42,cnn,transformer,lstm,1.0,1.0,0.7269124427149373,0.7707641124725342
43,transformer,transformer,lstm,1.0,1.0,0.7163477117015471,0.7520184516906738
44,,,,,,,
45,transformer,transformer,cnn_rnn,0.9977072861886792,0.9978888034820556,0.7626634220923146,0.8106383085250854
46,cnn_rnn,transformer,cnn_rnn,1.0,1.0,0.7643173490801165,0.809881865978241
47,lstm,transformer,cnn_rnn,1.0,1.0,0.7226248614249691,0.7663981914520264
48,cnn,transformer,cnn_rnn,1.0,1.0,0.7126733160788014,0.7586206197738647
49,,,,,,,
50,cnn_rnn,transformer,transformer,0.999379652161752,0.9992952942848206,0.7878425851944955,0.8268624544143677
51,transformer,transformer,transformer,0.9994438261755052,0.9992943406105042,0.7472204412183454,0.7907488346099854
52,lstm,transformer,transformer,1.0,1.0,0.7324795588370292,0.7793952226638794
53,cnn,transformer,transformer,1.0,1.0,0.7156660479883994,0.7687224745750427
54,,,,,,,
55,cnn_rnn,transformer,cnn,0.9983043834086388,0.9978798627853394,0.7578800032215733,0.7991169691085815
56,transformer,transformer,cnn,0.99947970817166,0.9992952942848206,0.7528371637867343,0.7952069640159607
57,cnn,transformer,cnn,1.0,1.0,0.7470809490449967,0.7889503240585327
58,lstm,transformer,cnn,1.0,1.0,0.7317371060771327,0.7694063782691956
59,,,,,,,
60,cnn_rnn,cnn,lstm,1.0,1.0,0.7848489149924247,0.8242811560630798
61,transformer,cnn,lstm,0.998398530867792,0.9978858828544616,0.7575314775589974,0.7982358932495117
62,lstm,cnn,lstm,1.0,1.0,0.7455995515469582,0.7836920022964478
63,cnn,cnn,lstm,1.0,1.0,0.7423385891222185,0.7811447381973267
64,,,,,,,
65,cnn_rnn,cnn,cnn_rnn,1.0,1.0,0.776000730452999,0.8125677108764648
66,transformer,cnn,cnn_rnn,0.998158098228516,0.9978829026222228,0.7597585647336899,0.8021857142448425
67,cnn,cnn,cnn_rnn,1.0,1.0,0.746193931948754,0.7872105240821838
68,lstm,cnn,cnn_rnn,1.0,1.0,0.7403218986526612,0.7767653465270996
69,,,,,,,
70,cnn_rnn,cnn,transformer,1.0,1.0,0.7841190849581072,0.8191720247268677
71,transformer,cnn,transformer,0.9989594173046852,0.99858957529068,0.7499034481663858,0.8008255362510681
72,cnn,cnn,transformer,1.0,1.0,0.7402092593331491,0.7823204994201659
73,lstm,cnn,transformer,1.0,1.0,0.7342306808117898,0.7713310718536377
74,,,,,,,
75,cnn_rnn,cnn,cnn,0.9975248209891779,0.9971711039543152,0.7686267110609241,0.8000000715255737
76,transformer,cnn,cnn,0.9978329673890144,0.9971790909767152,0.7544822481370741,0.8000000119209291
77,cnn,cnn,cnn,0.9995391705343801,0.9992943406105042,0.7454279786156071,0.7811447381973267
78,lstm,cnn,cnn,1.0,1.0,0.7402910099875543,0.7790178656578064
79,,,,,,,
